isin,kind
AU0000352320,etf
AU0000352783,etf
AU0000353534,etf
AU0000357006,etf
AU0000357675,etf
AU0000358962,etf
AU0000371767,etf
AU0000379026,etf
AU0000379034,etf
AU0000379604,etf
AU0000379935,etf
AU0000379943,etf
AU0000381410,etf
AU0000381428,etf
AU0000381824,etf
AU0000383986,etf
AU0000389512,etf
AU0000390049,etf
AU0000391237,etf
AU0000392144,etf
AU0000392169,etf
AU0000392623,etf
AU0000393365,etf
AU0000393373,etf
AU0000393381,etf
AU0000395816,etf
AU0000396475,etf
AU0000401085,etf
AU0000404873,etf
AU0000405227,etf
AU0000405474,etf
AU0000406407,etf
AU0000409898,etf
AU0000409906,etf
AU0000409914,etf
AU0000411423,etf
AU0000412595,etf
AU0000413866,etf
AU0000414286,mutual
AU0000416646,etf
AU0000417941,etf
AU0000419277,etf
AU0000420358,etf
AU0000422511,etf
AU0000422974,etf
AU0000423923,etf
AU0000424632,etf
AU0000424780,etf
AU0000426330,etf
AU0000427098,etf
AU0000429417,etf
AU0000430837,etf
AU0000431827,etf
AU0000432668,etf
AU0000434920,closedend
AU0000440166,closedend
AU0000448995,etf
AU0000451031,etf
AU0000451924,etf
AU0000451932,etf
AU0000453011,etf
AU0000453433,etf
AU0000455305,reit
AU0000456436,etf
AU0000456444,etf
AU0000456451,etf
AU0000459356,etf
AU0000459737,etf
AU0000461444,etf
AU0000462194,etf
AU0000463143,etf
AU0000465171,etf
AU0000465189,etf
AU0000465197,etf
AU0000465478,etf
AU0000465486,etf
AU0000466856,etf
AU0000467086,etf
AU0000467235,etf
AU0000467649,etf
AU0000467763,etf
AU0000469637,etf
AU0000469959,etf
AU0000471880,etf
AU0000473084,etf
AU0000473266,etf
AU0000477051,etf
AU0000477069,etf
AU0000477077,etf
AU0000477721,etf
AU0000478786,etf
AU0000478794,etf
AU0000478802,etf
AU0000478810,etf
AU0000478828,etf
AU000ETPMAG8,etf
AU000ETPMPD3,etf
AU000ETPMPM4,etf
AU000ETPMPT9,etf
AU000PMGOLD8,etf
AU60AAP00013,etf
AU60AAP36017,mutual
AU60AAP36561,etf
AU60AAP82854,mutual
AU60BFL00209,etf
AU60BFL33333,mutual
AU60BPF00291,etf
AU60DFA00034,etf
AU60DFA00042,etf
AU60DFA00091,etf
AU60DFA01016,etf
AU60DFA01024,etf
AU60DFA01065,etf
AU60ETL03901,etf
AU60ETL03919,etf
AU60ETL05351,etf
AU60ETL38154,etf
AU60ETL77426,etf
AU60ETL81113,etf
AU60ETL99305,etf
AU60FRT00091,etf
AU60FRT00273,etf
AU60HOW01641,etf
AU60HOW10006,etf
AU60MGE97056,etf
AU60MMC01100,etf
AU60OMF11405,etf
AU60OPH00027,mutual
AU60PIM00581,etf
AU60PIM18120,etf
AU60PIM19250,mutual
AU60PIM75906,etf
AU60SLT21713,etf
AU60SSB00264,etf
AU60SSB01262,etf
AU60TGP00085,etf
AU60TGP00168,etf
AU60TGP00341,etf
AU60WHT00154,etf
AU60WHT00618,etf
AU60WHT14643,mutual
AU60WHT18412,etf
AU60WHT30938,etf
AU60WHT57253,etf
AU60WHT77947,etf
AU60WHT84356,etf
AU60ZIL77911,etf
BD0167GMFO28,closedend
BD0168PFMF19,mutual
BD0169EBMF15,closedend
BD0170IAMC20,closedend
BD0171IPFO19,closedend
BD0172TBMF13,closedend
BD0173PMIF19,closedend
BD0174DBHF16,closedend
BD0175IFIC18,closedend
BD0176PHMF17,mutual
BD0177INRB32,mutual
BD0178JBMF19,mutual
BD0179GDMF19,closedend
BD0180PLMF15,closedend
BD0181IIMF18,mutual
BD0182PHPF16,mutual
BD0183AIBF17,closedend
BD0184MBLF17,closedend
BD0186ENRB19,closedend
BD0187RIMF11,closedend
BD0188LRMF15,closedend
BD0189ABMF15,closedend
BD0191BFIF12,closedend
BD0192NCCF16,closedend
BD0193ISMF12,closedend
BD0194EXIM15,closedend
BD0198VRBBF2,closedend
BD0199CMBDF7,closedend
BD0200SEIBF5,closedend
BD0201IABMF4,closedend
BD0202CMIBF8,closedend
BD0203SEFGF4,closedend
BD0205CGBGF7,closedend
BE0002393651,etf
BE0003730448,closedend
BG1100018057,reit
BG9000002196,etf
BG9000002212,closedend
BG9000003202,etf
BG9000011163,etf
BGCROEX03189,etf
BGCZPX003174,etf
BGGRASE06174,etf
BGHUBUX01189,etf
BGMACMB06181,etf
BGPLWIG04173,etf
BGROBET05176,etf
BGSKSAX04187,etf
BGSLOBI02187,etf
BGSRBBE05183,etf
BMG3156P1032,closedend
BMG3163K1053,closedend
BMG670131058,closedend
BMG6936M1001,closedend
BMG917071026,closedend
BR03BKCTF019,etf
BR10BKCTF006,etf
BR3PRECTF003,etf
BR5PRECTF008,etf
BRAAGRCTF017,mutual
BRAAZQCTF001,closedend
BRABCPCTF000,mutual
BRABTCCTF002,etf
