isin,kind
DE000A383RQ0,corporate
DE000A383SN5,government
DE000A383SZ9,corporate
DE000A383TD4,government
DE000A383TE2,government
DE000A383V65,corporate
DE000A383VA6,government
DE000A3E46B7,corporate
DE000A3E5L98,corporate
DE000A3E5LU1,government
DE000A3E5MY1,corporate
DE000A3E5S00,corporate
DE000A3E5WT0,corporate
DE000A3H24E1,government
DE000A3H2515,government
DE000A3H2564,government
DE000A3H2580,government
DE000A3H26A4,government
DE000A3H26B2,government
DE000A3H2TW4,corporate
DE000A3H2Y24,government
DE000A3H2ZF6,government
DE000A3H3JM4,corporate
DE000A3KWK17,corporate
DE000A3KWKY4,corporate
DE000A3LBMY2,corporate
DE000A3LE0J4,corporate
DE000A3LH6U5,corporate
DE000A3LJCA6,corporate
DE000A3LSYG8,corporate
DE000A3LSYH6,corporate
DE000A3LT423,corporate
DE000A3LT431,corporate
DE000A3MQEN8,corporate
DE000A3MQQJ0,corporate
DE000A3MQTG0,government
DE000A3R4WW2,corporate
DE000A460A74,corporate
DE000A460A90,corporate
DE000A460AT6,corporate
DE000A460C98,government
DE000A460DL7,corporate
DE000A460EZ5,corporate
DE000A460H51,government
DE000A460HM6,government
DE000A460J75,corporate
DE000A460JR1,corporate
DE000A460JS9,corporate
DE000A460KL2,government
DE000A460N46,corporate
DE000A460Q43,corporate
DE000A460Q50,corporate
DE000A460QR6,corporate
DE000A46Z700,corporate
DE000A46ZW17,corporate
DE000A46ZWZ6,government
DE000A46ZXA7,corporate
DE000A4DE123,corporate
DE000A4DE9K2,government
DE000A4DE9R7,corporate
DE000A4DFCB7,corporate
DE000A4DFCD3,corporate
DE000A4DFCK8,corporate
DE000A4DFDS9,corporate
DE000A4DFK32,corporate
DE000A4DFKS4,corporate
DE000A4DFL98,government
DE000A4DFLK9,corporate
DE000A4DFLP8,corporate
DE000A4DFLQ6,corporate
DE000A4DFMA8,corporate
DE000A4DFMZ5,corporate
DE000A4DFSB3,corporate
DE000A4DFSF4,corporate
DE000A4DFTU1,corporate
DE000A4DFW53,corporate
DE000A4DFWA7,corporate
DE000A4DFWY7,corporate
DE000A4EB2X2,corporate
DE000A4EB2Y0,corporate
DE000A4ET6Q7,corporate
DE000A4R2L42,government
DE000A5H27X9,government
DE000AAR0421,corporate
DE000AAR0454,corporate
DE000AAR0496,corporate
DE000BC0K2H7,corporate
DE000BC0K7X3,corporate
DE000BHY0GM2,corporate
DE000BHY0GT7,corporate
DE000BHY0JY1,corporate
DE000BHY3ND1,corporate
DE000BHY4US2,corporate
DE000BLB33C5,corporate
DE000BLB47J0,corporate
DE000BLB48A7,corporate
DE000BLB4UP9,corporate
DE000BLB6000,corporate
DE000BLB6J02,corporate
DE000BLB6J10,corporate
DE000BLB6JV5,corporate
DE000BLB6XZ7,corporate
DE000BLB73C1,corporate
DE000BLB73D9,corporate
DE000BLB77L3,corporate
DE000BLB77M1,corporate
DE000BLB7WT0,corporate
DE000BLB9PA0,corporate
DE000BLB9W69,corporate
DE000BLB9WN9,corporate
DE000BLB9WQ2,corporate
DE000BLB9X76,corporate
DE000BLB9XB2,corporate
DE000BLB9XC0,corporate
DE000BLB9XG1,corporate
DE000BLB9XK3,corporate
DE000BLB9XS6,corporate
DE000BLB9XT4,corporate
DE000BLB9Y00,corporate
DE000BLB9ZN2,corporate
DE000BU0E337,government
DE000BU0E345,government
DE000BU0E352,government
DE000BU0E360,government
DE000BU0E378,government
DE000BU0E386,government
DE000BU0E410,government
DE000BU0E428,government
DE000BU0E436,government
DE000BU0E444,government
DE000BU22064,government
DE000BU22072,government
DE000BU22080,government
DE000BU22098,government
DE000BU22106,government
DE000BU22114,government
DE000BU22122,government
DE000BU22130,government
DE000BU22148,government
DE000BU25000,government
DE000BU25018,government
DE000BU25026,government
DE000BU25034,government
DE000BU25042,government
DE000BU25059,government
DE000BU25067,government
DE000BU25075,government
DE000BU27006,government
DE000BU27014,government
DE000BU2D004,government
DE000BU2D012,government
DE000BU2F009,government
DE000BU2T000,government
DE000BU2Z007,government
DE000BU2Z015,government
DE000BU2Z023,government
DE000BU2Z031,government
DE000BU2Z049,government
DE000BU2Z056,government
DE000BU2Z064,government
DE000BU2Z072,government
DE000BU35025,government
DE000BU3F007,government
DE000BU3Z005,government
DE000BYL0A09,corporate
DE000BYL0A74,corporate
DE000BYL0AU2,corporate
DE000BYL0BD6,corporate
DE000BYL0BE4,corporate
DE000BYL0BF1,corporate
DE000BYL0BR6,corporate
DE000BYL0BT2,corporate
DE000BYL0CB8,corporate
DE000BYL0E70,corporate
DE000BYL0EA6,corporate
DE000BYL0EP4,corporate
DE000BYL0FQ9,corporate
DE000BYL0GC7,corporate
DE000BYL0GF0,corporate
DE000BYL0GQ7,corporate
DE000BYL0GS3,corporate
DE000BYL0H02,corporate
DE000BYL0H77,corporate
DE000BYL0HN2,corporate
DE000BYL0RA8,corporate
DE000CS8DQ77,corporate
DE000CZ40LW5,corporate
DE000CZ40M39,corporate
DE000CZ43Z72,corporate
DE000CZ43ZF4,corporate
DE000CZ43ZX7,corporate
DE000CZ457V6,corporate
DE000CZ45V82,corporate
DE000CZ45ZK9,corporate
DE000CZ46C35,corporate
DE000CZ46CD1,corporate
DE000DB9U4R9,corporate
DE000DB9U4X7,corporate
DE000DB9U7N1,corporate
DE000DB9U7X0,corporate
DE000DB9U7Z5,corporate
DE000DB9U8W0,corporate
DE000DB9U9D8,corporate
DE000DB9VCB4,corporate
DE000DB9VCK5,corporate
DE000DB9VDD8,corporate
DE000DB9VER6,corporate
DE000DB9VEY2,corporate
DE000DB9VFK8,corporate
DE000DB9VGP5,corporate
DE000DB9VJA1,corporate
DE000DB9VJB9,corporate
DE000DB9VJL8,corporate
DE000DB9VKA9,corporate
DE000DB9VKB7,corporate
DE000DB9VLH2,corporate
DE000DB9VML2,corporate
DE000DB9VMR9,corporate
DE000DB9VMU3,corporate
DE000DB9VNC9,corporate
DE000DB9VNQ9,corporate
DE000DB9VPB6,corporate
DE000DB9VPM3,corporate
DE000DB9VQC2,corporate
DE000DB9VQP4,corporate
DE000DB9VQX8,corporate
DE000DB9VQY6,corporate
DE000DB9VRE6,corporate
DE000DB9VRG1,corporate
DE000DB9VRH9,corporate
DE000DB9VRP2,corporate
DE000DB9VRW8,corporate
DE000DB9VSD6,corporate
DE000DB9VSE4,corporate
DE000DB9VSF1,corporate
DE000DB9VSR6,corporate
DE000DB9VSS4,corporate
DE000DB9VSZ9,corporate
DE000DB9VTJ1,corporate
DE000DB9VTR4,corporate
DE000DB9VTT0,corporate
DE000DB9VTZ7,corporate
DE000DB9VUB6,corporate
DE000DB9VUR2,corporate
DE000DB9VUS0,corporate
DE000DB9VUT8,corporate
DE000DB9VUY8,corporate
DE000DB9VUZ5,corporate
DE000DB9VVC2,corporate
DE000DB9VVD0,corporate
DE000DB9VVP4,corporate
DE000DB9VVQ2,corporate
DE000DB9VWD8,corporate
DE000DB9VWE6,corporate
DE000DB9VWJ5,corporate
DE000DB9VWK3,corporate
DE000DB9VWM9,corporate
DE000DB9VWR8,corporate
DE000DB9VWV0,corporate
DE000DB9VWX6,corporate
DE000DB9VWZ1,corporate
DE000DB9VXA2,corporate
DE000DB9VXC8,corporate
DE000DB9VXE4,corporate
DE000DB9VXP0,corporate
DE000DB9VXR6,corporate
